Sample ID,Plant,Subsp_ploidy,Year,Population,Latitude,Longitude,Ecoregion,Included in GC?,Included in LC-MS?,Included in climate and spatial analyses,Climate PERMANOVAs
UTT.1.5_2012,UTT.1.5,T_2n,2012,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
UTT.1.5_2021,UTT.1.5,T_2n,2021,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,Yes,Yes,Yes
UTT.1.6_2012,UTT.1.6,T_2n,2012,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
UTT.1.6_2021,UTT.1.6,T_2n,2021,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
UTT.1.8_2012,UTT.1.8,T_2n,2012,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,No,Yes,No
UTT.1.9_2012,UTT.1.9,T_2n,2012,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,Yes,Yes,Yes
UTT.1.9_2021,UTT.1.9,T_2n,2021,Canyon B,37.9933,-112.5087,Wasatch and Uinta Mountains,Yes,Yes,Yes,Yes
UTT.2.3_2012,UTT.2.3,T_2n,2012,La Sal B,38.306,-109.3876,Colorado Plateaus,Yes,Yes,Yes,Yes
UTT.3.10_2012,UTT.3.10,T_2n,2012,Kanab,37.0402,-112.2642,Colorado Plateaus,Yes,Yes,Yes,Yes
UTT.3.3_2012,UTT.3.3,T_2n,2012,Kanab,37.0402,-112.2642,Colorado Plateaus,Yes,Yes,Yes,Yes
UTV.1.7_2012,UTV.1.7,V_2n,2012,Basin Exclosure,39.3413,-111.5221,Wasatch and Uinta Mountains,Yes,No,No,No
UTV.3.3_2012,UTV.3.3,V_4n,2012,La Sal V,38.3413,-109.2173,Southern Rockies,No,Yes,No,No
UTV.3.4_2012,UTV.3.4,V_4n,2012,La Sal V,38.3413,-109.2173,Southern Rockies,Yes,No,No,No
UTV.3.5_2012,UTV.3.5,V_4n,2012,La Sal V,38.3413,-109.2173,Southern Rockies,Yes,No,No,No
UTV.3.5_2021,UTV.3.5,V_4n,2021,La Sal V,38.3413,-109.2173,Southern Rockies,No,Yes,No,No
UTW.1.1_2012,UTW.1.1,W_4n,2012,La Sal W,38.3279,-109.4352,Colorado Plateaus,Yes,No,Yes,No
UTW.1.1_2021,UTW.1.1,W_4n,2021,La Sal W,38.3279,-109.4352,Colorado Plateaus,Yes,Yes,Yes,No
UTW.1.10_2012,UTW.1.10,W_4n,2012,La Sal W,38.3279,-109.4352,Colorado Plateaus,No,No,No,No
UTW.1.10_2021,UTW.1.10,W_4n,2021,La Sal W,38.3279,-109.4352,Colorado Plateaus,Yes,Yes,Yes,No
UTW.1.4_2012,UTW.1.4,W_4n,2012,La Sal W,38.3279,-109.4352,Colorado Plateaus,Yes,No,Yes,No
UTW.1.4_2021,UTW.1.4,W_4n,2021,La Sal W,38.3279,-109.4352,Colorado Plateaus,Yes,Yes,Yes,No
UTW.2.10_2012,UTW.2.10,W_4n,2012,Scooby,41.8566,-113.049,Central Basin and Range,Yes,No,Yes,No
UTW.2.3_2012,UTW.2.3,W_4n,2012,Scooby,41.8566,-113.049,Central Basin and Range,Yes,No,Yes,No
UTW.2.3_2021,UTW.2.3,W_4n,2021,Scooby,41.8566,-113.049,Central Basin and Range,Yes,Yes,Yes,No
